Date,Open,High,Low,Close,Volume,Adj Close
2022-03-22 04:30:00,2890.62,2891.96,2884.3,2891.96,2596.0128,2891.96
2022-03-22 04:31:00,2891.96,2894.85,2891.96,2894.63,1359.3552,2894.63
2022-03-22 04:32:00,2894.63,2897.87,2894.63,2896.57,1259.6038,2896.57
2022-03-22 04:33:00,2896.57,2896.57,2893.1,2894.22,2682.0626,2894.22
2022-03-22 04:34:00,2894.23,2894.29,2892,2892.08,2128.0007,2892.08
2022-03-22 04:35:00,2892.08,2894.57,2890.02,2894.3,1456.792,2894.3
2022-03-22 04:36:00,2894.45,2896.33,2894.45,2896.33,1769.9128,2896.33
2022-03-22 04:37:00,2896.33,2898.3,2895.91,2897.68,2829.1692,2897.68
2022-03-22 04:38:00,2897.55,2899.2,2897.31,2899.2,5795.3386,2899.2
2022-03-22 04:39:00,2899.19,2899.19,2897.75,2898.95,2732.572,2898.95
2022-03-22 04:40:00,2898.99,2899.95,2898.36,2898.36,5479.8252,2898.36
2022-03-22 04:41:00,2898.14,2898.85,2896.9,2898.03,13686.5879,2898.03
2022-03-22 04:42:00,2898.11,2898.11,2895.83,2896.41,7844.1589,2896.41
2022-03-22 04:43:00,2896.42,2897,2895.83,2896.36,9896.2521,2896.36
2022-03-22 04:44:00,2896.37,2896.6,2895.94,2895.95,6320.234,2895.95
2022-03-22 04:45:00,2895.94,2898.02,2895.94,2898.02,4592.0184,2898.02
2022-03-22 04:46:00,2897.97,2898.49,2896.91,2897.21,3357.2254,2897.21
2022-03-22 04:47:00,2897.26,2898.24,2896.35,2898.05,3221.4712,2898.05
2022-03-22 04:48:00,2898.05,2899.5,2897.55,2899.07,2578.7102,2899.07
2022-03-22 04:49:00,2899.06,2900.1,2898.09,2898.75,5027.0829,2898.75
2022-03-22 04:50:00,2899.13,2900.54,2899.13,2900.45,2884.8393,2900.45
2022-03-22 04:51:00,2900.45,2900.45,2898.31,2898.31,4134.0789,2898.31
2022-03-22 04:52:00,2898.37,2898.68,2896.55,2896.55,2932.9934,2896.55
2022-03-22 04:53:00,2896.53,2896.95,2895.01,2896.32,3543.9283,2896.32
2022-03-22 04:54:00,2896.32,2898.04,2896.31,2897.43,7329.6998,2897.43
2022-03-22 04:55:00,2897.44,2897.68,2895.71,2897.21,4851.7169,2897.21
2022-03-22 04:56:00,2897.21,2897.88,2896.8,2897.68,2301.3017,2897.68
2022-03-22 04:57:00,2897.69,2898.27,2896.15,2896.74,4210.9125,2896.74
2022-03-22 04:58:00,2896.47,2896.74,2896.46,2896.58,4003.9425,2896.58
2022-03-22 04:59:00,2896.48,2896.9,2891.01,2891.01,2680.4415,2891.01
2022-03-22 05:00:00,2891,2891,2887.6,2891,2645.7503,2891
2022-03-22 05:01:00,2891,2892.7,2890.01,2892.7,2680.6753,2892.7
2022-03-22 05:02:00,2893,2895.77,2893,2895.67,3271.1694,2895.67
2022-03-22 05:03:00,2895.67,2896.09,2892,2892.42,2871.9546,2892.42
2022-03-22 05:04:00,2892.41,2892.42,2890.13,2890.7,1445.6069,2890.7
2022-03-22 05:05:00,2890.55,2893.99,2890.26,2892.87,7893.4572,2892.87
2022-03-22 05:06:00,2893.07,2893.33,2891.38,2892.38,5783.9002,2892.38
2022-03-22 05:07:00,2891.92,2895.63,2891.82,2894.77,2456.8828,2894.77
2022-03-22 05:08:00,2894.78,2897.64,2894.78,2897.63,1683.3702,2897.63
2022-03-22 05:09:00,2897.63,2897.63,2894.64,2896.26,7273.4501,2896.26
2022-03-22 05:10:00,2896.27,2897.57,2895.63,2896.29,1260.7402,2896.29
2022-03-22 05:11:00,2896.29,2896.3,2893.77,2894,1258.1952,2894
2022-03-22 05:12:00,2893.89,2894.46,2891.79,2893.01,1338.4861,2893.01
2022-03-22 05:13:00,2893,2893,2890.02,2890.57,1292.1096,2890.57
2022-03-22 05:14:00,2890.57,2891.96,2890.51,2891.96,1954.3644,2891.96
2022-03-22 05:15:00,2891.96,2892.65,2891.96,2892.38,3504.8909,2892.38
2022-03-22 05:16:00,2892.37,2892.37,2889,2889.01,3960.4712,2889.01
2022-03-22 05:17:00,2889.01,2891.3,2888.61,2891.3,1777.9247,2891.3
2022-03-22 05:18:00,2891.3,2892.79,2890.23,2892.79,1234.4533,2892.79
2022-03-22 05:19:00,2892.8,2893.93,2892.8,2893.6,2853.3508,2893.6
2022-03-22 05:20:00,2893.61,2897.23,2893.6,2896.96,5370.146,2896.96
2022-03-22 05:21:00,2896.97,2896.97,2895.39,2895.39,1719.9058,2895.39
2022-03-22 05:22:00,2895.38,2897.17,2895.15,2897.17,4498.2597,2897.17
2022-03-22 05:23:00,2897.17,2897.95,2896.84,2897.95,4343.4025,2897.95
2022-03-22 05:24:00,2897.96,2897.96,2894.87,2895.4,1610.2717,2895.4
